date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-05-08,19:50:39,-3,-4,0,-4
2023-05-08,19:50:39,-3,-4,0,-4
2023-05-08,19:50:39,-2,-4,0,-4
2023-05-08,19:50:39,-1,-4,0,-4
2023-05-08,19:50:39,2,-3,2,-4
2023-05-08,19:50:39,2,-3,2,-4
2023-05-08,19:50:39,0,-4,2,-4
2023-05-08,19:50:39,-1,-5,2,-4
2023-05-08,19:50:39,0,-4,4,-4
2023-05-08,19:50:39,1,-4,3,-4
2023-05-08,19:50:39,1,-4,4,-4
2023-05-08,19:50:39,-1,-4,2,-4
2023-05-08,19:50:39,-2,-5,2,-4
2023-05-08,19:50:40,-3,-5,0,-4
2023-05-08,19:50:40,-5,-3,-2,-2
2023-05-08,19:50:40,-6,-3,-1,-2
2023-05-08,19:50:40,-6,-4,-1,-3
2023-05-08,19:50:40,-6,-3,-1,-3
2023-05-08,19:50:40,-6,-3,-1,-3
2023-05-08,19:50:40,0,-3,0,-3
2023-05-08,19:50:40,1,-4,0,-3
2023-05-08,19:50:40,0,-3,0,-4
2023-05-08,19:50:40,0,-3,0,-3
2023-05-08,19:50:40,0,-3,0,-4
2023-05-08,19:50:40,3,-2,5,-3
2023-05-08,19:50:40,2,-3,5,-3
2023-05-08,19:50:40,1,-2,5,-4
2023-05-08,19:50:41,1,-3,3,-3
2023-05-08,19:50:41,-2,-5,1,-4
2023-05-08,19:50:41,-5,-4,0,-4
2023-05-08,19:50:41,-4,-3,1,-4
2023-05-08,19:50:41,-5,-3,1,-3
2023-05-08,19:50:41,-5,-3,0,-4
2023-05-08,19:50:41,-5,-3,0,-3
2023-05-08,19:50:41,-3,-4,0,-4
2023-05-08,19:50:41,-4,-4,0,-3
2023-05-08,19:50:41,-2,-4,0,-5
2023-05-08,19:50:41,-2,-4,1,-3
2023-05-08,19:50:41,-2,-5,0,-4
2023-05-08,19:50:41,-2,-4,1,-4
2023-05-08,19:50:41,0,-4,2,-3
2023-05-08,19:50:42,2,-4,2,-4
2023-05-08,19:50:42,1,-3,2,-3
2023-05-08,19:50:42,0,-2,0,-2
2023-05-08,19:50:42,-6,-2,-1,-2
2023-05-08,19:50:42,-4,-4,1,-3
2023-05-08,19:50:42,-4,-3,1,-3
2023-05-08,19:50:42,-3,-4,0,-3
2023-05-08,19:50:42,0,-3,2,-3
2023-05-08,19:50:42,0,-3,3,-3
2023-05-08,19:50:42,0,-4,2,-3
2023-05-08,19:50:42,-1,-4,2,-4
2023-05-08,19:50:42,-4,-4,0,-3
2023-05-08,19:50:43,-4,-4,-1,-4
2023-05-08,19:50:43,-4,-3,-1,-4
2023-05-08,19:50:43,-5,-3,-1,-2
2023-05-08,19:50:43,-2,1,-2,-1
2023-05-08,19:50:43,-5,-1,-3,-2
2023-05-08,19:50:43,-5,-3,-1,-3
2023-05-08,19:50:43,-3,-3,0,-3
2023-05-08,19:50:43,2,-3,4,-3
2023-05-08,19:50:43,2,-3,4,-3
2023-05-08,19:50:43,2,-4,5,-3
2023-05-08,19:50:44,-1,-4,2,-3
2023-05-08,19:50:44,-4,-4,1,-4
2023-05-08,19:50:44,-4,-4,0,-4
2023-05-08,19:50:44,-3,-4,0,-4
2023-05-08,19:50:44,-5,-3,-1,-3
2023-05-08,19:50:44,-4,-4,-1,-4
2023-05-08,19:50:44,-5,-4,-1,-2
2023-05-08,19:50:44,-5,-3,-2,-3
2023-05-08,19:50:44,-5,-2,-3,-2
2023-05-08,19:50:44,-4,-2,-3,-2
2023-05-08,19:50:44,-5,-2,-3,-1
2023-05-08,19:50:44,-4,-3,-1,-3
2023-05-08,19:50:44,-5,-3,-1,-3
2023-05-08,19:50:44,-4,-4,1,-3
2023-05-08,19:50:45,0,-3,3,-3
2023-05-08,19:50:45,0,-3,4,-3
2023-05-08,19:50:45,0,-4,3,-3
2023-05-08,19:50:45,1,-4,3,-3
2023-05-08,19:50:45,0,-4,2,-3
2023-05-08,19:50:45,-2,-4,1,-4
2023-05-08,19:50:45,-2,-5,1,-4
2023-05-08,19:50:45,-1,-4,1,-4
2023-05-08,19:50:45,-2,-4,0,-3
2023-05-08,19:50:45,-5,-3,0,-4
2023-05-08,19:50:45,-4,-5,-1,-4
2023-05-08,19:50:45,-5,-4,0,-4
2023-05-08,19:50:45,-5,-4,0,-4
2023-05-08,19:50:46,-4,-4,-1,-3
2023-05-08,19:50:46,-6,-2,0,-3
2023-05-08,19:50:46,-1,-4,2,-4
2023-05-08,19:50:46,0,-3,3,-3
2023-05-08,19:50:46,0,-2,3,-3
2023-05-08,19:50:46,-3,-4,0,-4
2023-05-08,19:50:46,-5,-3,-2,-4
2023-05-08,19:50:46,-6,-3,-2,-3
2023-05-08,19:50:46,-5,-3,-2,-3
2023-05-08,19:50:46,-5,-3,-2,-2
2023-05-08,19:50:46,-2,-4,0,-3
2023-05-08,19:50:46,1,-3,0,-4
2023-05-08,19:50:47,1,-3,0,-4
2023-05-08,19:50:47,1,-3,4,-4
2023-05-08,19:50:47,1,-4,3,-4
2023-05-08,19:50:47,-1,-4,1,-4
2023-05-08,19:50:47,0,-4,0,-4
2023-05-08,19:50:47,-3,-4,0,-3
2023-05-08,19:50:47,-3,-4,0,-4
2023-05-08,19:50:47,-4,-5,0,-4
2023-05-08,19:50:47,-3,-4,-1,-4
2023-05-08,19:50:47,-4,-4,-1,-3
2023-05-08,19:50:47,-1,-2,-1,-2
2023-05-08,19:50:47,0,-2,0,-3
2023-05-08,19:50:47,1,-2,-1,-2
2023-05-08,19:50:47,2,-2,0,-3
2023-05-08,19:50:48,2,-2,-1,-3
2023-05-08,19:50:48,1,-2,-1,-2
2023-05-08,19:50:48,1,-2,-1,-2
2023-05-08,19:50:48,2,-2,0,-2
2023-05-08,19:50:48,2,-2,0,-2
